CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.20257181 22.62593842 22.14041138 21.93849182 21.85123253 21.92600822 1.0
0.17980230 20.13743401 19.20479393 18.83546066 18.56947517 18.50935936 1.0
0.23190007 21.64940262 20.94648361 20.74037170 20.47818947 20.27765083 1.0
0.28030121 22.10733414 20.76453781 20.27828789 19.98963737 19.85614395 1.0
0.12001800 19.64505577 18.71233749 18.56105423 18.22994041 18.06118965 1.0
0.27950299 21.52515411 20.22601318 19.81682968 19.57218742 19.48163605 1.0
0.07009856 19.19972038 18.63174438 18.38727570 18.34855461 18.27586555 1.0
0.05069170 17.44373894 16.70578003 16.48627281 16.19234657 15.94002056 1.0
0.24589276 21.49728012 20.25482368 19.84895706 19.49029922 19.24230576 1.0
0.19979867 21.59162903 21.00862885 20.76339531 20.56731987 20.48597527 1.0
0.17777769 21.12472916 20.46049500 20.30065727 20.04692268 19.87163734 1.0
0.26612264 22.10832977 20.76677132 20.45954132 20.27782631 19.88445663 1.0
0.13554975 19.21245193 18.27705383 17.95121193 17.69456863 17.49075317 1.0
0.09862857 19.44278908 18.07931328 16.93620110 16.38814354 16.23151398 1.0
0.15773293 21.16815186 20.53412819 20.45125580 20.24537468 20.16291428 1.0
0.19964974 22.13000107 21.70224571 21.74748421 21.46405602 21.24545097 1.0
0.12095598 19.91236115 19.44513893 19.05525017 18.94354057 18.82779884 1.0
0.24921237 21.99399567 21.44758034 21.19811058 21.14906502 21.07166100 1.0
0.19256154 21.82285500 21.36742401 21.17033768 21.13634682 20.96839714 1.0
0.27182367 22.78409576 22.28996277 22.09433746 22.03035355 22.11504745 1.0
0.18869355 22.71852493 22.53987122 22.36831856 22.32629967 21.90756226 1.0
0.22251838 20.87021065 19.96100616 19.55698395 19.23352814 18.98734856 1.0
0.19225575 22.06722832 21.80727005 21.62747383 21.54319763 21.75418854 1.0
